entity,date,score_iso,score_lof,score_iso_norm,score_lof_norm,score_combined_norm,rank_combined,severity
user001,2025-12-23,-0.15265624037975828,-0.3848721718398844,0.14469033300017453,0.055278947722349266,0.0999846403612619,22.0,low
user003,2025-12-23,0.02723614991748824,0.42470673171402296,0.8104455271238856,1.0,0.9052227635619428,1.0,critical
user004,2025-12-23,-0.17038890491283942,-0.3574457166269567,0.07906435794339205,0.0872836720491087,0.08317401499625038,23.0,low
user005,2025-12-23,-0.1622347355297099,-0.3909059903079468,0.10924173571692039,0.04823791032948116,0.07873982302320078,26.0,low
user006,2025-12-23,-0.13805890233373758,-0.31163730974153925,0.19871292733259693,0.14073882776769234,0.16972587755014462,15.0,medium
user007,2025-12-23,-0.1364987757420465,-0.2894512765627353,0.20448672565832166,0.16662835196173642,0.18555753881002904,12.0,medium
user008,2025-12-23,-0.15074163377214406,-0.3720816280135788,0.15177600956279375,0.07020460347961574,0.11099030652120474,21.0,low
user010,2025-12-23,-0.1345904846981168,-0.3654601360885852,0.2115490292515793,0.07793141403701487,0.1447402216442971,17.0,medium
user011,2025-12-23,-0.15882605092735758,-0.39616839226199607,0.12185677449313434,0.04209706119209212,0.08197691784261323,24.0,low
user019,2025-12-23,-0.10040954177640193,-0.38124515303194806,0.33804765575032386,0.05951142093752651,0.1987795383439252,10.0,medium
user022,2025-12-23,-0.11335741499981461,-0.22901076732124293,0.2901294873547692,0.23715813138183175,0.26364380936830045,8.0,medium
user027,2025-12-23,-0.18127662011187562,-0.42812016779889284,0.03877053042839365,0.004811609613688373,0.021791070021041012,31.0,low
user037,2025-12-23,0.07845528800037105,-0.41641221133626694,1.0,0.018473962845520532,0.5092369814227603,3.0,high
user038,2025-12-23,-0.18266543378384992,-0.428028155047677,0.033630735942039185,0.004918981955988797,0.01927485894901399,32.0,low
user039,2025-12-23,-0.1436992749399223,-0.26252927908651924,0.17783874053038817,0.19804440995620404,0.1879415752432961,11.0,medium
user040,2025-12-23,-0.16931718212807734,-0.36794327740531085,0.0830306458416023,0.07503376457086251,0.07903220520623241,25.0,low
user041,2025-12-23,-0.1917527282270154,-0.4322434776647922,0.0,0.0,0.0,34.0,low
user042,2025-12-23,-0.11091212941498108,-0.4242266668255277,0.2991791285126235,0.009355048579865272,0.15426708854624438,16.0,medium
user043,2025-12-23,0.027458519657049596,-0.08934843909344825,0.8112684847202813,0.40013414410611,0.6057013144131956,2.0,critical
user044,2025-12-23,-0.06519858011159763,-0.1944700165987716,0.4683582296423044,0.27746473303084607,0.37291148133657526,5.0,high
user046,2025-12-23,-0.171536606795693,-0.3874149426840645,0.07481688261354191,0.05231171483489448,0.0635642987242182,27.0,low
user047,2025-12-23,-0.12237796182086086,-0.4148456541142861,0.25674577451386205,0.020302023804997293,0.13852389915942967,18.0,low
user048,2025-12-23,-0.14061796996371828,-0.4036399054631321,0.1892421956137156,0.03337833620741421,0.1113102659105649,20.0,low
user050,2025-12-23,-0.01861963694553337,-0.3727935747548101,0.6407400257725383,0.06937381222308826,0.3550569189978133,6.0,high
user051,2025-12-23,-0.14943107631817631,-0.2571115245671809,0.15662618933268213,0.2043665444980295,0.1804963669153558,13.0,medium
user053,2025-12-23,-0.17711707698631024,-0.400626007585805,0.054164385812998615,0.03689534086455969,0.045529863338779154,29.0,low
user054,2025-12-23,-0.11285797956415272,-0.37365680638074594,0.2919778242125536,0.06836648225631975,0.18017215323443667,14.0,medium
user055,2025-12-23,-0.11103112008328964,-0.2928163145922642,0.2987387616057868,0.16270159169877066,0.23072017665227873,9.0,medium
user056,2025-12-23,-0.1845808550418045,-0.41149964725803256,0.02654204447870857,0.02420657604109392,0.025374310259901244,30.0,low
user075,2025-12-23,-0.17575688925869543,-0.37487141613624253,0.05919823990291645,0.06694911898106362,0.06307367944199004,28.0,low
user089,2025-12-23,-0.1507305716009611,-0.337320264772377,0.15181694902616502,0.11076864426140118,0.1312927966437831,19.0,low
user090,2025-12-23,-0.018919886363637173,-0.3986368220258425,0.6396288469766762,0.039216579062756114,0.33942271301971616,7.0,high
user096,2025-12-23,-0.18790787554848254,-0.427078759458956,0.014229232471390916,0.006026859144570356,0.010128045807980636,33.0,low
user107,2025-12-23,-0.015234430133870602,-0.301605663365476,0.6532681767094595,0.15244504624605057,0.40285661147775503,4.0,high
